Overhalla,overhalla.kommune.no
Porsanger,porsanger.kommune.no
Porsgrunn,porsgrunn.kommune.no
Radøy,radoy.kommune.no
Rakkestad,rakkestad.kommune.no
Rana,rana.kommune.no
Randaberg,randaberg.kommune.no
Rauma,rauma.kommune.no
Re,re.kommune.no
Rendalen,rendalen.kommune.no
Rennebu,rennebu.kommune.no
Rennesøy,rennesoy.kommune.no
Rindal,rindal.kommune.no
Ringebu,ringebu.kommune.no
Ringerike,ringerike.kommune.no
Ringsaker,ringsaker.kommune.no
Rissa,rissa.kommune.no (TIDLIGERE KOMMUNE)
Risør,risor.kommune.no
Roan,roan.kommune.no
Rollag,rollag.kommune.no
Rygge,rygge.kommune.no
Rælingen,ralingen.kommune.no
Rødøy,rodoy.kommune.no
Rømskog,romskog.kommune.no
Røros,roros.kommune.no
Røst,rost.kommune.no
Røyken,royken.kommune.no
Røyrvik,royrvik.kommune.no
Råde,rade.kommune.no
Salangen,salangen.kommune.no
Saltdal,saltdal.kommune.no
Samnanger,samnanger.kommune.no
Sande kommune (Møre og Romsdal),sande-mr.kommune.no
Sande kommune (Vestfold),sande-ve.kommune.no
Sandefjord,sandefjord.kommune.no
Sandnes,sandnes.kommune.no
Sandøy,sandoy.kommune.no
Sarpsborg,sarpsborg.kommune.no
Sauda,sauda.kommune.no
Sauherad,sauherad.kommune.no
Sel,sel.kommune.no
Selbu,selbu.kommune.no
Selje,selje.kommune.no
Seljord,seljord.kommune.no
Sigdal,sigdal.kommune.no
Siljan,siljan.kommune.no
Sirdal,sirdal.kommune.no
Skaun,skaun.kommune.no
Skedsmo,skedsmo.kommune.no
Ski,ski.kommune.no
Skien,skien.kommune.no
Skiptvet,skiptvet.kommune.no
Skjervøy,skjervoy.kommune.no
Skjåk,skjaak.kommune.no
Skodje,skodje.kommune.no
Skånland,skanland.kommune.no
Smøla,smola.kommune.no
Snillfjord,snillfjord.kommune.no
Snåsa kommune,snasa.kommune.no
Sogndal,sogndal.kommune.no
Sokndal,sokndal.kommune.no
Sola,sola.kommune.no
Solund,solund.kommune.no
Songdalen,songdalen.kommune.no
Sortland,sortland.kommune.no
Spydeberg,spydeberg.kommune.no
Stange,stange.kommune.no
Stavanger,stavanger.kommune.no
Steigen,steigen.kommune.no
Steinkjer,steinkjer.kommune.no
Stjørdal,stjordal.kommune.no
Stokke,stokke.kommune.no
Stord,stord.kommune.no
Stordal,stordal.kommune.no
Stor-Elvdal,stor-elvdal.kommune.no
Storfjord,storfjord.kommune.no
Strand,strand.kommune.no
Stranda,stranda.kommune.no
Stryn,stryn.kommune.no
Sula,sula.kommune.no
Suldal,suldal.kommune.no
Sund,sund.kommune.no
Sunndal,sunndal.kommune.no
Surnadal,surnadal.kommune.no
Sveio,sveio.kommune.no
Svelvik,svelvik.kommune.no
Sykkylven,sykkylven.kommune.no
Søgne,sogne.kommune.no
Sømna,somna.kommune.no
Søndre Land,sondre-land.kommune.no
Sør-Aurdal,sor-aurdal.kommune.no
Sørfold,sorfold.kommune.no
Sør-Fron,sor-fron.kommune.no
Sør-Odal,sor-odal.kommune.no
Sørreisa,sorreisa.kommune.no
Sørum,sorum.kommune.no
Sør-Varanger,sor-varanger.kommune.no
Tana,tana.kommune.no
Time,time.kommune.no
Tingvoll,tingvoll.kommune.no
Tinn,tinn.kommune.no
Tjeldsund,tjeldsund.kommune.no
Tjøme,tjome.kommune.no (TIDLIGERE KOMMUNE)
Tokke,tokke.kommune.no
Tolga,tolga.kommune.no
Torsken,torsken.kommune.no
